PageTitle;PageID;RevisionID;Time(calendar);Time(milliseconds);InteractionType;WordCount;IsAnonymous;ActiveUser;TargetAuthor;UndoTarget;RedoTarget
"George W. Bush";3414021;8574546;2002-06-07T12:33:57Z;1023438067000;ADDED;47;1;"24.213.34.103";;;
"George W. Bush";3414021;8574548;2002-06-15T11:52:08Z;1023446037000;ADDED;23;0;"Tarquin";;;
"George W. Bush";3414021;8574550;2002-07-25T23:50:19Z;1024134728000;ADDED;8;0;"Mav";;;
"George W. Bush";3414021;8574550;2002-07-25T23:50:19Z;1024134728000;DELETED;2;0;"Mav";"Conversion script";"Conversion script";""
"George W. Bush";3414021;8574552;2002-07-26T00:01:31Z;1027633819000;ADDED;6;0;"Brion VIBBER";;;
"George W. Bush";3414021;8574554;2002-07-27T09:44:35Z;1027634491000;ADDED;1;0;"Mav";;;
"George W. Bush";3414021;8574556;2002-07-31T21:37:15Z;1027755875000;ADDED;1;0;"The Cunctator";;;
"George W. Bush";3414021;8574556;2002-07-31T21:37:15Z;1027755875000;DELETED;1;0;"The Cunctator";"The Cunctator";"The Cunctator";""
"George W. Bush";3414021;8574558;2002-08-09T02:06:50Z;1028144235000;ADDED;39;0;"Danny";;;
"George W. Bush";3414021;8574558;2002-08-09T02:06:50Z;1028144235000;DELETED;13;0;"Danny";"64.26.98.90";"64.26.98.90";""
"George W. Bush";3414021;8574558;2002-08-09T02:06:50Z;1028144235000;DELETED;9;0;"Danny";"210.49.193.178";"210.49.193.178";""
"George W. Bush";3414021;8574558;2002-08-09T02:06:50Z;1028144235000;DELETED;16;0;"Danny";"Aristotle~enwiki";"Aristotle~enwiki";""
"George W. Bush";3414021;8574560;2002-08-19T10:57:47Z;1028851610000;ADDED;1;1;"217.168.172.202";;;
"George W. Bush";3414021;8574560;2002-08-19T10:57:47Z;1028851610000;DELETED;1;1;"217.168.172.202";"Tarquin";"Tarquin";""
"George W. Bush";3414021;8574566;2002-08-28T09:20:07Z;1029750952000;ADDED;85;0;"Fonzy";;;
"George W. Bush";3414021;8574568;2002-08-28T12:49:09Z;1030519207000;ADDED;1;1;"128.32.172.179";;;
"George W. Bush";3414021;8574568;2002-08-28T12:49:09Z;1030519207000;DELETED;1;1;"128.32.172.179";"The Cunctator";"The Cunctator";""
"George W. Bush";3414021;8574570;2002-08-29T14:19:32Z;1030531749000;ADDED;20;0;"BryceHarrington";;;
"George W. Bush";3414021;8574570;2002-08-29T14:19:32Z;1030531749000;DELETED;1;0;"BryceHarrington";"208.144.114.xxx";"208.144.114.xxx";""
"George W. Bush";3414021;8574570;2002-08-29T14:19:32Z;1030531749000;DELETED;3;0;"BryceHarrington";"65.164.176.xxx";"65.164.176.xxx";""
"George W. Bush";3414021;8574570;2002-08-29T14:19:32Z;1030531749000;DELETED;7;0;"BryceHarrington";"Aristotle~enwiki";"Aristotle~enwiki";""
"George W. Bush";3414021;8574570;2002-08-29T14:19:32Z;1030531749000;DELETED;8;0;"BryceHarrington";"Fonzy";"Fonzy";""
"George W. Bush";3414021;8574570;2002-08-29T14:19:32Z;1030531749000;DELETED;11;0;"BryceHarrington";"Andrew Blair";"Andrew Blair";""
"George W. Bush";3414021;8574572;2002-08-29T14:30:10Z;1030623572000;ADDED;10;0;"Fonzy";;;
"George W. Bush";3414021;8574574;2002-09-05T11:27:35Z;1030624210000;ADDED;12;0;"Rgamble";;;
"George W. Bush";3414021;8574574;2002-09-05T11:27:35Z;1030624210000;DELETED;1;0;"Rgamble";"BryceHarrington";"BryceHarrington";""
"George W. Bush";3414021;8574574;2002-09-05T11:27:35Z;1030624210000;DELETED;9;0;"Rgamble";"Fonzy";"Fonzy";""
"George W. Bush";3414021;8574576;2002-09-05T11:35:26Z;1031218055000;ADDED;17;0;"Fonzy";;;
"George W. Bush";3414021;8574578;2002-09-11T05:16:48Z;1031218526000;ADDED;3;0;"Christopher Mahan";;;
"George W. Bush";3414021;8574580;2002-09-12T01:40:25Z;1031714208000;ADDED;31;0;"Bryan Derksen";;;
"George W. Bush";3414021;8574580;2002-09-12T01:40:25Z;1031714208000;DELETED;26;0;"Bryan Derksen";"Danny";"Danny";""
"George W. Bush";3414021;8574584;2002-09-13T10:45:04Z;1031902278000;DELETED;4;1;"209.155.42.182";"BryceHarrington";"BryceHarrington";""
"George W. Bush";3414021;8574584;2002-09-13T10:45:04Z;1031902278000;DELETED;3;1;"209.155.42.182";"Christopher Mahan";"Christopher Mahan";""
"George W. Bush";3414021;8574584;2002-09-13T10:45:04Z;1031902278000;DELETED;95;1;"209.155.42.182";"Fonzy";"Fonzy";""
"George W. Bush";3414021;8574584;2002-09-13T10:45:04Z;1031902278000;DELETED;12;1;"209.155.42.182";"Rgamble";"Rgamble";""
"George W. Bush";3414021;8574586;2002-09-13T10:48:29Z;1031906704000;ADDED;92;0;"Jeronimo";;;
"George W. Bush";3414021;8574588;2002-09-13T18:28:25Z;1031906909000;ADDED;6;0;"Khendon";;;
"George W. Bush";3414021;8574588;2002-09-13T18:28:25Z;1031906909000;DELETED;9;0;"Khendon";"24.213.34.103";"24.213.34.103";""
"George W. Bush";3414021;8574590;2002-09-13T18:36:28Z;1031934505000;DELETED;92;1;"209.155.42.182";"Jeronimo";"Jeronimo";""
"George W. Bush";3414021;8574592;2002-09-13T18:52:13Z;1031934988000;RESTORED;92;0;"Soulpatch";"Jeronimo";"209.155.42.182";"Jeronimo"
"George W. Bush";3414021;8574594;2002-09-13T18:58:06Z;1031935933000;DELETED;92;1;"62.211.220.27";"Jeronimo";"Soulpatch";"209.155.42.182"
"George W. Bush";3414021;8574596;2002-09-13T19:04:35Z;1031936286000;ADDED;106;0;"Tarquin";;;
"George W. Bush";3414021;8574598;2002-09-13T19:06:08Z;1031936675000;ADDED;11;1;"151.148.136.103";;;
"George W. Bush";3414021;8574600;2002-09-13T19:06:47Z;1031936768000;ADDED;20;0;"Koyaanis Qatsi";;;
"George W. Bush";3414021;8574600;2002-09-13T19:06:47Z;1031936768000;DELETED;8;0;"Koyaanis Qatsi";"Tarquin";"Tarquin";""
"George W. Bush";3414021;8574602;2002-09-13T19:26:35Z;1031936807000;DELETED;11;0;"Lee Daniel Crocker";"151.148.136.103";"151.148.136.103";""
"George W. Bush";3414021;8574606;2002-09-13T19:34:47Z;1031938409000;ADDED;282;1;"207.172.11.150";;;
"George W. Bush";3414021;8574606;2002-09-13T19:34:47Z;1031938409000;DELETED;13;1;"207.172.11.150";"65.164.176.xxx";"65.164.176.xxx";""
"George W. Bush";3414021;8574606;2002-09-13T19:34:47Z;1031938409000;DELETED;88;1;"207.172.11.150";"144.132.75.xxx";"144.132.75.xxx";""
"George W. Bush";3414021;8574606;2002-09-13T19:34:47Z;1031938409000;DELETED;5;1;"207.172.11.150";"Andrew Blair";"Andrew Blair";""
"George W. Bush";3414021;8574606;2002-09-13T19:34:47Z;1031938409000;DELETED;20;1;"207.172.11.150";"Koyaanis Qatsi";"Koyaanis Qatsi";""
"George W. Bush";3414021;8574606;2002-09-13T19:34:47Z;1031938409000;DELETED;10;1;"207.172.11.150";"The Cunctator";"The Cunctator";""
"George W. Bush";3414021;8574606;2002-09-13T19:34:47Z;1031938409000;DELETED;1;1;"207.172.11.150";"Ed Poor";"Ed Poor";""
"George W. Bush";3414021;8574606;2002-09-13T19:34:47Z;1031938409000;DELETED;72;1;"207.172.11.150";"Tarquin";"Tarquin";""
"George W. Bush";3414021;8574608;2002-09-13T19:39:09Z;1031938487000;DELETED;1;1;"209.155.42.182";"Aristotle~enwiki";"Aristotle~enwiki";""
"George W. Bush";3414021;8574610;2002-09-13T19:49:45Z;1031938749000;ADDED;250;0;"Ryguasu";;;
"George W. Bush";3414021;8574610;2002-09-13T19:49:45Z;1031938749000;DELETED;89;0;"Ryguasu";"207.172.11.150";"207.172.11.150";""
"George W. Bush";3414021;8574610;2002-09-13T19:49:45Z;1031938749000;DELETED;10;0;"Ryguasu";"Tarquin";"Tarquin";""
"George W. Bush";3414021;8574612;2002-09-13T19:54:19Z;1031939385000;ADDED;5;1;"207.172.11.150";;;
"George W. Bush";3414021;8574612;2002-09-13T19:54:19Z;1031939385000;DELETED;1;1;"207.172.11.150";"Aristotle~enwiki";"Aristotle~enwiki";""
"George W. Bush";3414021;8574614;2002-09-13T19:58:10Z;1031939659000;DELETED;5;0;"Soulpatch";"207.172.11.150";"207.172.11.150";""
"George W. Bush";3414021;8574614;2002-09-13T19:58:10Z;1031939659000;RESTORED;1;0;"Soulpatch";"Aristotle~enwiki";"207.172.11.150";"Aristotle~enwiki"
"George W. Bush";3414021;8574616;2002-09-13T20:00:32Z;1031939890000;ADDED;20;0;"Vicki Rosenzweig";;;
"George W. Bush";3414021;8574616;2002-09-13T20:00:32Z;1031939890000;DELETED;9;0;"Vicki Rosenzweig";"Ryguasu";"Ryguasu";""
"George W. Bush";3414021;8574616;2002-09-13T20:00:32Z;1031939890000;DELETED;2;0;"Vicki Rosenzweig";"The Cunctator";"The Cunctator";""
"George W. Bush";3414021;8574616;2002-09-13T20:00:32Z;1031939890000;DELETED;2;0;"Vicki Rosenzweig";"207.172.11.150";"207.172.11.150";""
"George W. Bush";3414021;8574616;2002-09-13T20:00:32Z;1031939890000;DELETED;3;0;"Vicki Rosenzweig";"Tarquin";"Tarquin";""
"George W. Bush";3414021;8574620;2002-09-13T20:33:16Z;1031940852000;ADDED;10;1;"209.155.42.182";;;
"George W. Bush";3414021;8574620;2002-09-13T20:33:16Z;1031940852000;DELETED;6;1;"209.155.42.182";"Ryguasu";"Ryguasu";""
"George W. Bush";3414021;8574620;2002-09-13T20:33:16Z;1031940852000;DELETED;1;1;"209.155.42.182";"207.172.11.150";"207.172.11.150";""
"George W. Bush";3414021;8574620;2002-09-13T20:33:16Z;1031940852000;DELETED;3;1;"209.155.42.182";"Tarquin";"Tarquin";""
"George W. Bush";3414021;8574622;2002-09-13T21:05:36Z;1031941996000;ADDED;8;0;"Someone else";;;
"George W. Bush";3414021;8574622;2002-09-13T21:05:36Z;1031941996000;DELETED;5;0;"Someone else";"207.172.11.150";"207.172.11.150";""
"George W. Bush";3414021;8574626;2002-09-15T21:01:48Z;1031944288000;ADDED;59;1;"128.148.115.157";;;
"George W. Bush";3414021;8574626;2002-09-15T21:01:48Z;1031944288000;DELETED;1;1;"128.148.115.157";"Conversion script";"Conversion script";""
"George W. Bush";3414021;8574626;2002-09-15T21:01:48Z;1031944288000;DELETED;1;1;"128.148.115.157";"Danny";"Danny";""
"George W. Bush";3414021;8574626;2002-09-15T21:01:48Z;1031944288000;DELETED;3;1;"128.148.115.157";"144.132.75.xxx";"144.132.75.xxx";""
"George W. Bush";3414021;8574626;2002-09-15T21:01:48Z;1031944288000;DELETED;1;1;"128.148.115.157";"Andrew Blair";"Andrew Blair";""
"George W. Bush";3414021;8574626;2002-09-15T21:01:48Z;1031944288000;DELETED;1;1;"128.148.115.157";"207.172.11.150";"207.172.11.150";""
"George W. Bush";3414021;8574626;2002-09-15T21:01:48Z;1031944288000;DELETED;11;1;"128.148.115.157";"Tarquin";"Tarquin";""
"George W. Bush";3414021;8574632;2002-09-15T21:18:36Z;1032117144000;ADDED;46;0;"Fonzy";;;
"George W. Bush";3414021;8574636;2002-09-16T00:30:50Z;1032117564000;ADDED;8;0;"Nairobiny";;;
"George W. Bush";3414021;8574636;2002-09-16T00:30:50Z;1032117564000;DELETED;1;0;"Nairobiny";"128.148.115.157";"128.148.115.157";""
"George W. Bush";3414021;8574636;2002-09-16T00:30:50Z;1032117564000;DELETED;5;0;"Nairobiny";"Fonzy";"Fonzy";""
"George W. Bush";3414021;8574640;2002-09-16T20:58:39Z;1032129364000;ADDED;23;1;"209.155.42.182";;;
"George W. Bush";3414021;8574640;2002-09-16T20:58:39Z;1032129364000;DELETED;1;1;"209.155.42.182";"Fonzy";"Fonzy";""
"George W. Bush";3414021;8574642;2002-09-16T21:21:00Z;1032202719000;ADDED;7;1;"213.1.146.82";;;
"George W. Bush";3414021;8574644;2002-09-16T21:25:32Z;1032204060000;DELETED;7;1;"209.155.42.182";"213.1.146.82";"213.1.146.82";""
"George W. Bush";3414021;8574646;2002-09-16T21:33:43Z;1032204332000;ADDED;15;1;"213.1.146.82";;;
"George W. Bush";3414021;8574652;2002-09-16T21:51:00Z;1032205337000;ADDED;99;0;"Ed Poor";;;
"George W. Bush";3414021;8574652;2002-09-16T21:51:00Z;1032205337000;DELETED;15;0;"Ed Poor";"213.1.146.82";"213.1.146.82";""
"George W. Bush";3414021;8574652;2002-09-16T21:51:00Z;1032205337000;DELETED;1;0;"Ed Poor";"208.144.114.xxx";"208.144.114.xxx";""
"George W. Bush";3414021;8574652;2002-09-16T21:51:00Z;1032205337000;DELETED;8;0;"Ed Poor";"65.164.176.xxx";"65.164.176.xxx";""
"George W. Bush";3414021;8574652;2002-09-16T21:51:00Z;1032205337000;DELETED;1;0;"Ed Poor";"Aristotle~enwiki";"Aristotle~enwiki";""
"George W. Bush";3414021;8574652;2002-09-16T21:51:00Z;1032205337000;DELETED;48;0;"Ed Poor";"Ryguasu";"Ryguasu";""
"George W. Bush";3414021;8574652;2002-09-16T21:51:00Z;1032205337000;DELETED;4;0;"Ed Poor";"The Cunctator";"The Cunctator";""
"George W. Bush";3414021;8574652;2002-09-16T21:51:00Z;1032205337000;DELETED;18;0;"Ed Poor";"207.172.11.150";"207.172.11.150";""
"George W. Bush";3414021;8574652;2002-09-16T21:51:00Z;1032205337000;DELETED;1;0;"Ed Poor";"Someone else";"Someone else";""
"George W. Bush";3414021;8574662;2002-09-20T18:48:14Z;1032206663000;ADDED;122;0;"The Cunctator";;;
"George W. Bush";3414021;8574662;2002-09-20T18:48:14Z;1032206663000;DELETED;13;0;"The Cunctator";"128.148.115.157";"128.148.115.157";""
"George W. Bush";3414021;8574662;2002-09-20T18:48:14Z;1032206663000;DELETED;5;0;"The Cunctator";"Vicki Rosenzweig";"Vicki Rosenzweig";""
"George W. Bush";3414021;8574662;2002-09-20T18:48:14Z;1032206663000;DELETED;9;0;"The Cunctator";"BryceHarrington";"BryceHarrington";""
"George W. Bush";3414021;8574662;2002-09-20T18:48:14Z;1032206663000;DELETED;1;0;"The Cunctator";"208.144.114.xxx";"208.144.114.xxx";""
"George W. Bush";3414021;8574662;2002-09-20T18:48:14Z;1032206663000;DELETED;4;0;"The Cunctator";"Andrew Blair";"Andrew Blair";""
"George W. Bush";3414021;8574662;2002-09-20T18:48:14Z;1032206663000;DELETED;134;0;"The Cunctator";"207.172.11.150";"207.172.11.150";""
"George W. Bush";3414021;8574662;2002-09-20T18:48:14Z;1032206663000;DELETED;4;0;"The Cunctator";"208.187.51.75";"208.187.51.75";""
"George W. Bush";3414021;8574662;2002-09-20T18:48:14Z;1032206663000;DELETED;1;0;"The Cunctator";"192.41.67.2";"192.41.67.2";""
"George W. Bush";3414021;8574662;2002-09-20T18:48:14Z;1032206663000;DELETED;55;0;"The Cunctator";"65.164.176.xxx";"65.164.176.xxx";""
"George W. Bush";3414021;8574662;2002-09-20T18:48:14Z;1032206663000;DELETED;17;0;"The Cunctator";"Aristotle~enwiki";"Aristotle~enwiki";""
"George W. Bush";3414021;8574662;2002-09-20T18:48:14Z;1032206663000;DELETED;82;0;"The Cunctator";"Ryguasu";"Ryguasu";""
"George W. Bush";3414021;8574662;2002-09-20T18:48:14Z;1032206663000;DELETED;38;0;"The Cunctator";"24.213.34.103";"24.213.34.103";""
"George W. Bush";3414021;8574662;2002-09-20T18:48:14Z;1032206663000;DELETED;91;0;"The Cunctator";"Ed Poor";"Ed Poor";""
"George W. Bush";3414021;8574662;2002-09-20T18:48:14Z;1032206663000;DELETED;6;0;"The Cunctator";"Khendon";"Khendon";""
"George W. Bush";3414021;8574662;2002-09-20T18:48:14Z;1032206663000;DELETED;7;0;"The Cunctator";"Someone else";"Someone else";""
"George W. Bush";3414021;8574664;2002-09-20T18:51:24Z;1032540494000;ADDED;1;1;"209.155.42.182";;;
"George W. Bush";3414021;8574664;2002-09-20T18:51:24Z;1032540494000;DELETED;23;1;"209.155.42.182";"209.155.42.182";"209.155.42.182";""
"George W. Bush";3414021;8574664;2002-09-20T18:51:24Z;1032540494000;DELETED;40;1;"209.155.42.182";"Fonzy";"Fonzy";""
"George W. Bush";3414021;8574664;2002-09-20T18:51:24Z;1032540494000;DELETED;26;1;"209.155.42.182";"Ryguasu";"Ryguasu";""
"George W. Bush";3414021;8574664;2002-09-20T18:51:24Z;1032540494000;DELETED;7;1;"209.155.42.182";"Nairobiny";"Nairobiny";""
"George W. Bush";3414021;8574664;2002-09-20T18:51:24Z;1032540494000;DELETED;1;1;"209.155.42.182";"207.172.11.150";"207.172.11.150";""
"George W. Bush";3414021;8574664;2002-09-20T18:51:24Z;1032540494000;DELETED;10;1;"209.155.42.182";"Tarquin";"Tarquin";""
"George W. Bush";3414021;8574666;2002-09-20T18:56:01Z;1032540684000;ADDED;12;0;"Koyaanis Qatsi";;;
"George W. Bush";3414021;8574670;2002-09-20T19:18:45Z;1032541146000;ADDED;5;1;"209.155.42.182";;;
"George W. Bush";3414021;8574672;2002-09-20T19:30:46Z;1032542325000;ADDED;51;0;"Koyaanis Qatsi";;;
"George W. Bush";3414021;8574672;2002-09-20T19:30:46Z;1032542325000;DELETED;4;0;"Koyaanis Qatsi";"209.155.42.182";"209.155.42.182";""
"George W. Bush";3414021;8574674;2002-09-20T19:41:59Z;1032543046000;ADDED;102;1;"62.7.26.194";;;
"George W. Bush";3414021;8574676;2002-09-20T19:43:58Z;1032543719000;ADDED;5;1;"209.155.42.182";;;
"George W. Bush";3414021;8574678;2002-09-20T19:47:34Z;1032543838000;ADDED;8;1;"213.1.148.58";;;
"George W. Bush";3414021;8574680;2002-09-20T19:48:16Z;1032544054000;DELETED;68;0;"Lee Daniel Crocker";"62.7.26.194";"62.7.26.194";""
"George W. Bush";3414021;8574680;2002-09-20T19:48:16Z;1032544054000;DELETED;5;0;"Lee Daniel Crocker";"209.155.42.182";"209.155.42.182";""
"George W. Bush";3414021;8574682;2002-09-20T20:03:47Z;1032544096000;DELETED;18;0;"Koyaanis Qatsi";"62.7.26.194";"62.7.26.194";""
"George W. Bush";3414021;8574684;2002-09-20T20:15:53Z;1032545027000;ADDED;22;0;"Wesley";;;
"George W. Bush";3414021;8574684;2002-09-20T20:15:53Z;1032545027000;DELETED;8;0;"Wesley";"62.7.26.194";"62.7.26.194";""
"George W. Bush";3414021;8574684;2002-09-20T20:15:53Z;1032545027000;DELETED;4;0;"Wesley";"Ryguasu";"Ryguasu";""
"George W. Bush";3414021;8574684;2002-09-20T20:15:53Z;1032545027000;DELETED;10;0;"Wesley";"The Cunctator";"The Cunctator";""
"George W. Bush";3414021;8574686;2002-09-20T20:23:54Z;1032545753000;ADDED;63;0;"Soulpatch";;;
"George W. Bush";3414021;8574690;2002-09-22T18:33:35Z;1032546311000;ADDED;22;0;"Hfastedge";;;
